rank,material_id,formula,elements,density,band_gap,energy_above_hull,formation_energy_per_atom,is_stable,hull_score,formation_score,stable_score,overall_score
913,mp-754006,Li4AlCr3O8,"Al,Cr,Li,O",3.8958899452156217,3.1048,0.01224582515625,-2.5684564236458334,False,0.7550801932836125,0.5772870169737727,0,0.6173445622468074
914,mp-769450,Li9Mn15O32,"Li,Mn,O",3.950758940588887,0.5789,0.0059415708035572,-2.0617451976600987,False,0.8811669810542531,0.3791394717090621,0,0.6173406546780109
915,mp-768475,Li24Ti7Cr5O36,"Cr,Li,O,Ti",3.438880616839643,1.2928000000000002,0.013466237743045,-2.6661379339351856,False,0.7306716123135075,0.6154850092206025,0,0.6172891399996401
916,mp-1177074,Li7Mn4(P2O7)4,"Li,Mn,O,P",2.938288558398248,0.2355,0.0130628239893741,-2.633391969195752,False,0.7387399962170114,0.6026798211811605,0,0.6172449353327625
917,mp-776163,Li8NbFe7(PO4)12,"Fe,Li,Nb,O,P",2.974570449803136,0.0,0.011396011381576,-2.4974732963471187,False,0.7720766980337929,0.5495293283571626,0,0.6169774488435931
918,mp-695021,Li3Ti3Fe(PO4)6,"Fe,Li,O,P,Ti",2.821447372183438,2.3884,0.0160355568918779,-2.8677860348069517,False,0.6792845362042511,0.6943387510482132,0,0.6166250577792127
919,mp-769615,Li4V3CrO8,"Cr,Li,O,V",3.948917879047039,0.0,0.0110676746875002,-2.461423570208333,False,0.7786435204916408,0.5354322166778832,0,0.6156552121076616
920,mp-26069,Li3Fe2(PO4)3,"Fe,Li,O,P",3.0795078436163243,2.5235000000000003,0.0115626956249998,-2.500679353571428,False,0.7687429681984302,0.5507830451417853,0,0.6155826983087616
921,mp-757513,Li2Mn3CoO8,"Co,Li,Mn,O",4.242763976314206,1.3741,0.0046727658928711,-1.9463726048542704,False,0.9065434215571163,0.33402344726964406,0,0.6155070884007894
922,mp-758853,Li4Fe3Co(PO4)4,"Co,Fe,Li,O,P",3.5238998848926504,1.5837,0.0109568219642861,-2.4499876761394552,False,0.78086060486098,0.5309602527239621,0,0.6153094211269258
923,mp-1176861,Li7V3P8O29,"Li,O,P,V",2.5916815627394465,0.9086999999999998,0.0139460963076274,-2.6902394678824724,False,0.7210743115690378,0.6249098246654914,0,0.6153093099958928
924,mp-772115,Li2Cr3(CoO6)2,"Co,Cr,Li,O",3.001909216760855,1.9332000000000005,0.0023511248026295,-1.7578217362719304,False,0.9529768696777263,0.26029132954432743,0,0.6152392436632641
925,mp-755842,Li2MnSiO4,"Li,Mn,O,Si",2.888457108013333,2.9620999999999995,0.0138083349999984,-2.6762760790122133,False,0.723829574885881,0.6194494932452905,0,0.6149135888230862
926,mp-674420,Li2NiO3,"Li,Ni,O",4.256342671837847,1.4157000000000002,0.0002351670833391,-1.5848085931944496,False,0.9952965948915192,0.19263518174013386,0,0.6148354407993825
927,mp-770894,Li2CrPO4F,"Cr,F,Li,O,P",3.093253102468531,2.2453,0.0139835217360992,-2.689185605839948,False,0.7203257929032365,0.624497715823088,0,0.6147533866348609
928,mp-769628,Li4V3CrO8,"Cr,Li,O,V",3.9579990911086775,1.9995000000000005,0.0111547725000002,-2.461336472395833,False,0.776901540745014,0.5353981574013964,0,0.6146852025002465
929,mp-756557,LiY4Ti4(S2O5)2,"Li,O,S,Ti,Y",4.143445083548434,0.0,0.0202440429130437,-3.190923624637682,False,0.5951136804455863,0.820700506865158,0,0.6145577016478778
930,mp-757537,Li7V3P8O29,"Li,O,P,V",2.587774106648753,0.3909,0.0140645400310326,-2.690121024159068,False,0.7187054051480307,0.6248635076868239,0,0.6139902005218052
931,mp-26165,Li2Ni(PO3)4,"Li,Ni,O,P",2.63019847981436,4.6675,0.0122010167982393,-2.539445131854636,False,0.7559763725319059,0.5659422589368827,0,0.6138667955204572
